species,speciesID,common_name,taxonomic_group,doc_type,sara_status,date_of_listing,doc_citation,url,year_published,CC_threat_CA,seabird,seabird_notes,migratory,subspecies,population,sdm,range_data,rationale_excluded,range_data_source,range_data_citation,spatial_data_used,spatial_data_type,spatial_data_date_accessed,spatial_data_verified,spatial_data_verified_notes,range_size_Canada,range_size_America,exclude_Hardouin_Hargreaves,cc_threat_ca_adj,sara_status_adj,year_of_listing,min_year_of_listing,cc_sdm,sdm_no_cc,sdm_ca,cc_sdm_ca,sdm_no_cc_ca,n_sdm,n_cc_sdm,n_sdm_ca,n_cc_sdm_ca,rsf_sdm,n_rsf_sdm,rowID,X2_primary_review_date,X2_secondary_review_date,X2_cc_sdm,X2_cc_sdm_ref_type,X2_cc_sdm_reference,X2_cc_sdm_section,X2_cc_sdm_cc_threat,X2_cc_sdm_oth_threat,X2_other_sdm,X2_other_sdm_reference,X2_other_sdm_section,X2_other_sdm_cc_threat,X2_other_sdm_oth_threat,X2_other_cc_model,start_date,n_sdm_ca_avl,n_cc_sdm_ca_avl
Numenius borealis,144,eskimo curlew,Birds,Recovery Strategies,Endangered,NA,"Environment Canada. 2007. Recovery Strategy for the Eskimo Curlew (Numenius borealis) in Canada . Species at Risk Act Recovery Strategy Series. Environment Canada, Ottawa. v + 10 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=eskimo%20curlew,2007,1,0,NA,NA,0,0,0,1,NA,IUCN,BirdLife International and Handbook of the Birds of the World 2021. Numenius borealis. The IUCN Red List of Threatened Species. Version 2023-1. Downloaded on 04 April 2024.,1,polygon,April 4 2024,1,NA,491141.0843,491141.0843,NA,1,Endangered,NA,2003,0,0,0,0,0,0,0,0,0,0,0,1570,6/18/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2006,0,0
Oarisma poweshiek,43,poweshiek skipperling,Arthropods,COSEWIC Status Reports,Threatened,7/14/2005,COSEWIC. 2014. COSEWIC assessment and status report on the Poweshiek Skipperling Oarisma poweshiek in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xi + 43 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=poweshiek%20skipperling,2014,1,0,NA,0,0,0,1,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,1162.333308,620181.4433,N,1,Threatened,2005,2005,0,1,1,0,1,4,0,1,0,1,4,671,6/24/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2013,0,0
Oarisma poweshiek,43,poweshiek skipperling,Arthropods,Recovery Strategies,Threatened,NA,"Environment Canada. 2012. Recovery Strategy for the Poweshiek Skipperling (Oarisma poweshiek) in Canada. Species at Risk Act Recovery Strategy Series. Environment Canada, Ottawa. iv + 22 pp. + Appendices.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=poweshiek%20skipperling,2012,1,0,NA,0,0,0,1,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,1162.333308,620181.4433,N,1,Threatened,NA,2005,0,1,1,0,1,4,0,1,0,1,4,1662,6/24/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2011,0,0
Ochotona collaris,35,collared pika,Mammals (terrestrial),COSEWIC Status Reports,Special Concern,2/3/2017,COSEWIC. 2011. COSEWIC assessment and status report on the Collared Pika Ochotona collaris in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. x + 50 pp,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=collared%20pika,2011,1,0,NA,0,0,0,1,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,663138.9164,1175884.365,N,1,Special Concern,2017,2017,0,1,1,0,1,3,0,2,0,1,3,1005,6/25/2024,7/8/2024,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,3,2010,0,0
Omus audouini,1039,audouin's night-stalking tiger beetle,Arthropods,COSEWIC Status Reports,Threatened,5/30/2018,COSEWIC. 2013. COSEWIC assessment and status report on the Audouin's Night-stalking Tiger Beetle Omus audouini in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. x + 57 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=audouin%27s%20night%20-%20stalking%20tiger%20beetle,2013,1,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,3368.850912,91497.57236,N,1,Threatened,2018,2018,0,0,0,0,0,0,0,0,0,0,0,14,5/24/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2012,0,0
Ophiogomphus howei,430,pygmy snaketail,Arthropods,Management Plans,Special Concern,NA,"Environment Canada. 2013. Management Plan for the Pygmy Snaketail (Ophiogomphus howei) in Canada. Species at Risk Act Management Plan Series. Environment Canada, Ottawa. iii + 13 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=pygmy%20snaketail,2013,0,0,NA,0,0,0,1,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,47958.06405,991057.8311,N,0,Special Concern,NA,2011,0,1,1,0,1,1,0,1,0,1,1,2077,7/18/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2012,0,0
Ophiogomphus howei,430,pygmy snaketail,Arthropods,COSEWIC Status Reports,Special Concern,2/4/2011,COSEWIC. 2008. COSEWIC assessment and status report on the Pygmy Snaketail Ophiogomphus howei in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vii + 34 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=pygmy%20snaketail,2008,0,0,NA,0,0,0,1,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,47958.06405,991057.8311,N,0,Special Concern,2011,2011,0,1,1,0,1,1,0,1,0,1,1,953,7/18/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2007,0,0
Ophiogomphus howei,430,pygmy snaketail,Arthropods,COSEWIC Status Reports,Special Concern,2/4/2011,COSEWIC. 2018. COSEWIC assessment and status report on the Pygmy SnaketailOphiogomphus howei in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xi + 46 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=pygmy%20snaketail,2018,0,0,NA,0,0,0,1,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,47958.06405,991057.8311,N,0,Special Concern,2011,2011,0,1,1,0,1,1,0,1,0,1,1,244,7/18/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2017,0,0
Opuntia humifusa,228,eastern prickly pear cactus,Vascular Plants,COSEWIC Status Reports,Endangered,6/5/2003,COSEWIC. 2010. COSEWIC assessment and status report on the Eastern Prickly Pear Cactus Opuntia humifusa in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. x + 30 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=eastern%20prickly%20pear%20cactus,2010,1,0,NA,0,0,0,0,0,Canadian range not included in located spatial data,IUCN,"Majure, L. 2013. Opuntia humifusa. The IUCN Red List of Threatened Species. Version 2023-1. Downloaded on 04 April 2024.",1,polygon,April 4 2024,1,can't use - no Canadian range,0,588860.1428,NA,1,Endangered,2003,2003,0,0,0,0,0,0,0,0,0,0,0,612,6/25/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2009,0,0
Opuntia humifusa,228,eastern prickly pear cactus,Vascular Plants,Recovery Strategies,Endangered,NA,"Dougan & Associates, V. L. McKay, B. C. Hutchinson and P. Nantel, 2010. Recovery Strategy for the Eastern Prickly Pear Cactus (Opuntia humifusa) in Canada (Proposed). Species at Risk Act Recovery Strategy Series. Parks Canada Agency, Ottawa. viii +18 pp +1 Appendix.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=eastern%20prickly%20pear%20cactus,2010,0,0,NA,0,0,0,0,0,Canadian range not included in located spatial data,IUCN,"Majure, L. 2013. Opuntia humifusa. The IUCN Red List of Threatened Species. Version 2023-1. Downloaded on 04 April 2024.",1,polygon,April 4 2024,1,can't use - no Canadian range,0,588860.1428,NA,1,Endangered,NA,2003,0,0,0,0,0,0,0,0,0,0,0,1604,7/18/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2009,0,0
Oreoscoptes montanus,188,sage thrasher,Birds,Recovery Strategies,Endangered,NA,"Environment Canada. 2014. Recovery Strategy for the Sage Thrasher (Oreoscoptes montanus) in Canada. Species at Risk Act Recovery Strategy Series. Environment Canada, Ottawa. iv + 30 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=sage%20thrasher,2014,1,0,NA,NA,0,0,1,1,NA,IUCN,BirdLife International and Handbook of the Birds of the World (2016) 2006. Oreoscoptes montanus. The IUCN Red List of Threatened Species. Version 2023-1,1,polygon,April 30 2024,1,NA,120658.3411,1992131.221,NA,1,Endangered,NA,2003,1,0,1,1,0,3,3,3,3,1,3,1694,6/13/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2013,2,2
Oreoscoptes montanus,188,sage thrasher,Birds,COSEWIC Status Reports,Endangered,6/5/2003,COSEWIC. 2010. COSEWIC assessment and status report on the Sage Thrasher Oreoscoptes montanus in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. ix + 30 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=sage%20thrasher,2010,0,0,NA,NA,0,0,1,1,NA,IUCN,BirdLife International and Handbook of the Birds of the World (2016) 2006. Oreoscoptes montanus. The IUCN Red List of Threatened Species. Version 2023-1,1,polygon,April 30 2024,1,NA,120658.3411,1992131.221,NA,1,Endangered,2003,2003,1,0,1,1,0,3,3,3,3,1,3,703,7/18/2024,10/22/2024,0,NA,NA,NA,NA,NA,1,"From the threats section (cliamte change): ""Climate change is likely to benefit Band-tailed Pigeons in Canada if Pacific Coast summers become longer and warmer, and coastal forests in British Columbia develop higher densities of madrone, Garry Oaks, and other pigeon food source plants."" MM: No indication of modelling, coded as 0.",SI,0,0,1,2009,1,1
Orthocarpus barbatus,270,grand coulee owl-clover,Vascular Plants,COSEWIC Status Reports,Endangered,8/15/2006,COSEWIC 2005. COSEWIC assessment and status report on the Grand Coulee Owl-clover Orthocarpus barbatus in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vi + 17 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=grand%20coulee%20owl%20-%20clover,2005,0,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,2755.997944,40464.21002,N,0,Endangered,2006,2006,0,0,0,0,0,0,0,0,0,0,0,650,7/18/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2004,0,0
Orthocarpus barbatus,270,grand coulee owl-clover,Vascular Plants,Recovery Strategies,Endangered,NA,"Environment Canada. 2012. Recovery Strategy for the Grand Coulee Owl-clover (Orthocarpus barbatus) in Canada. Species at Risk Act Recovery Strategy Series. Environment Canada, Ottawa. XIX pp. + Appendix.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=grand%20coulee%20owl%20-%20clover,2012,0,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,2755.997944,40464.21002,N,0,Endangered,NA,2006,0,0,0,0,0,0,0,0,0,0,0,1641,7/18/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2011,0,0
Orthocarpus bracteosus,277,rosy owl-clover,Vascular Plants,Recovery Strategies,Endangered,NA,Parks Canada Agency. 2006. Recovery Strategy for multi-species at risk in vernal pools and other ephemeral wet areas in Garry Oak and associated ecosystems in Canada. In Species at Risk Act Recovery Strategy Series. Ottawa: Parks Canada Agency. 73 pps.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=rosy%20owl%20-%20clover,2016,1,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,2180.203694,183369.3946,N,1,Endangered,NA,2005,0,0,0,0,0,0,0,0,0,0,0,1524,5/30/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2015,0,0
Orthocarpus bracteosus,277,rosy owl-clover,Vascular Plants,COSEWIC Status Reports,Endangered,7/14/2005,COSEWIC 2004. COSEWIC assessment and status report on the rosy owl-clover Orthocarpus bracteosus in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vi + 18 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=rosy%20owl%20-%20clover,2004,0,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,2180.203694,183369.3946,N,1,Endangered,2005,2005,0,0,0,0,0,0,0,0,0,0,0,530,7/18/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2003,0,0
Otus flammeolus,335,flammulated owl,Birds,Management Plans,Special Concern,NA,"Environment Canada. 2013. Management Plan for the Flammulated Owl (Otus flammeolus) in Canada. Species at Risk Act Management Plan Series. Environment Canada, Ottawa. 6 pp. + Appendix.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=flammulated%20owl,2013,1,0,NA,NA,0,0,1,1,NA,IUCN,BirdLife International and Handbook of the Birds of the World (2016) 2002. Psiloscops flammeolus. The IUCN Red List of Threatened Species. Version 2023-1. Downloaded on 04 April 2024.,1,polygon,April 30 2024,1,NA,35565.08617,1041738.23,NA,1,Special Concern,NA,2003,1,1,0,0,0,2,1,0,0,1,2,2072,5/30/2024,6/6/2024,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,3,2012,0,0
Otus flammeolus,335,flammulated owl,Birds,COSEWIC Status Reports,Special Concern,6/5/2003,COSEWIC. 2010. COSEWICassessment and status report on the Flammulated Owl Otus flammeolus in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. x + 23 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=flammulated%20owl,2010,1,0,NA,NA,0,0,1,1,NA,IUCN,BirdLife International and Handbook of the Birds of the World (2016) 2002. Psiloscops flammeolus. The IUCN Red List of Threatened Species. Version 2023-1. Downloaded on 04 April 2024.,1,polygon,April 30 2024,1,NA,35565.08617,1041738.23,NA,1,Special Concern,2003,2003,1,1,0,0,0,2,1,0,0,1,2,948,5/31/2024,6/6/2024,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2,2009,0,0
Oxytropis lagopus,82,hare-footed locoweed,Vascular Plants,COSEWIC Status Reports,Threatened,2/2/2018,COSEWIC. 2014. COSEWIC assessment and status report on the Hare-footed Locoweed Oxytropis lagopus in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xi + 61 pp,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=hare%20-%20footed%20locoweed,2014,1,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,1969.573158,440141.0759,N,1,Threatened,2018,2018,0,0,0,0,0,0,0,0,0,0,0,851,5/31/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2,2013,0,0
Pagophila eburnea,175,ivory gull,Birds,Recovery Strategies,Endangered,NA,"Environment Canada. 2014. Recovery Strategy for the Ivory Gull (Pagophila eburnea) in Canada. Species at Risk Act Recovery Strategy Series. Environment Canada, Ottawa. iv+ 21 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=ivory%20gull,2014,1,1,resident and breeding range at sea,NA,0,0,1,0,seabird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Endangered,NA,2003,1,0,1,1,0,2,2,2,2,1,2,1703,6/13/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2013,2,2
Pagophila eburnea,175,ivory gull,Birds,COSEWIC Status Reports,Endangered,6/5/2003,COSEWIC. 2006. COSEWIC assessment and update status report on the Ivory Gull Pagophila eburnea in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vi + 42 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=ivory%20gull,2006,1,1,resident and breeding range at sea,NA,0,0,1,0,seabird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Endangered,2003,2003,1,0,1,1,0,2,2,2,2,1,2,712,6/13/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2005,0,0
Panax quinquefolius,368,american ginseng,Vascular Plants,COSEWIC Status Reports,Endangered,6/5/2003,NA,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=american%20ginseng,2000,0,0,NA,0,0,0,1,0,"no spatial data, no estimate of range size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Endangered,2003,2003,1,1,1,1,1,4,1,3,1,1,4,734,7/18/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,1999,0,0
Panax quinquefolius,368,american ginseng,Vascular Plants,Recovery Strategies,Endangered,NA,"Environment and Climate Change Canada. 2018. Recovery Strategy for the American Ginseng (Panax quinquefolius) in Canada. Species at Risk Act Recovery Strategy Series. Environment and Climate Change Canada, Ottawa. vii + 32 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=american%20ginseng,2018,1,0,NA,0,0,0,1,0,"no spatial data, no estimate of range size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Endangered,NA,2003,1,1,1,1,1,4,1,3,1,1,4,8,6/28/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2,2017,0,0
Pannaria lurida,1037,wrinkled shingle lichen,Lichens,COSEWIC Status Reports,Threatened,2/25/2019,"COSEWIC. 2016. COSEWIC assessment and status report on the Wrinkled Shingle Lichen Pannaria lurida in
 
 Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xi + 41 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=wrinkled%20shingle%20lichen,2016,1,0,NA,0,0,0,1,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,76502.57327,1628600.778,N,1,Threatened,2019,2019,0,1,1,0,1,1,0,1,0,1,1,373,5/31/2024,6/6/2024,1,NEW,NRP,THR,1,0,1,NRP,SI,0,0,3,2015,0,0
Pantherophis gloydi,420,eastern foxsnake carolinian population,Reptiles,Recovery Strategies,Endangered,NA,"Environment and Climate Change Canada. 2020. Recovery Strategy for the Eastern Foxsnake (Pantherophis gloydi), Carolinian and Great Lakes/St. Lawrence populations, in Canada. Species at Risk Act Recovery Strategy Series. Environment and Climate Change Canada, Ottawa. 3 parts, 38 pp. + vi + 39 pp. + 5 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=eastern%20foxsnake%20carolinian%20population,2020,1,0,NA,0,0,1,1,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,7568.890942,21555.68004,N,1,Endangered,NA,2003,1,0,1,1,0,1,1,1,1,1,1,90,5/31/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2019,1,1
Pantherophis gloydi,420,eastern foxsnake carolinian population,Reptiles,COSEWIC Status Reports,Endangered,6/5/2003,NA,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=eastern%20foxsnake%20carolinian%20population,2008,0,0,NA,0,0,1,1,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,7568.890942,21555.68004,N,1,Endangered,2003,2003,1,0,1,1,0,1,1,1,1,1,1,797,7/18/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2007,0,0
Pantherophis gloydi,421,eastern foxsnake great lakes/st. lawrence population,Reptiles,Recovery Strategies,Endangered,NA,"Environment and Climate Change Canada. 2020. Recovery Strategy for the Eastern Foxsnake (Pantherophis gloydi), Carolinian and Great Lakes/St. Lawrence populations, in Canada. Species at Risk Act Recovery Strategy Series. Environment and Climate Change Canada, Ottawa. 3 parts, 38 pp. + vi + 39 pp. + 5 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=eastern%20foxsnake%20great%20lakes%20%2F%20st.%20lawrence%20population,2020,1,0,NA,0,0,1,1,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,7568.890942,21555.68004,N,1,Endangered,NA,2003,1,0,1,1,0,1,1,1,1,1,1,91,5/31/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2019,1,1
Pantherophis gloydi,421,eastern foxsnake great lakes/st. lawrence population,Reptiles,COSEWIC Status Reports,Endangered,6/5/2003,NA,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=eastern%20foxsnake%20great%20lakes%20%2F%20st.%20lawrence%20population,2008,0,0,NA,0,0,1,1,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,7568.890942,21555.68004,N,1,Endangered,2003,2003,1,0,1,1,0,1,1,1,1,1,1,796,7/18/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2007,0,0
Pantherophis spiloides,364,gray ratsnake carolinian population,Reptiles,COSEWIC Status Reports,Endangered,6/5/2003,COSEWIC 2007. COSEWIC assessment and update status report on the Gray Ratsnake Elaphe spiloides (Great Lakes/St. Lawrence population and Carolinian population) in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vii + 33 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=gray%20ratsnake%20carolinian%20population,2007,0,0,NA,0,0,1,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,26958.78158,1140747.779,N,1,Endangered,2003,2003,0,0,0,0,0,0,0,0,0,0,0,793,7/18/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2006,0,0
Pantherophis spiloides,364,gray ratsnake carolinian population,Reptiles,COSEWIC Status Reports,Endangered,6/5/2003,"COSEWIC. 2018. COSEWIC assessment and status report on the Gray Ratsnake Pantherophis spiloides, Great Lakes / St. Lawrence population and Carolinian populationin Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xvi + 44 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=gray%20ratsnake%20carolinian%20population,2018,1,0,NA,0,0,1,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,26958.78158,1140747.779,N,1,Endangered,2003,2003,0,0,0,0,0,0,0,0,0,0,0,124,5/31/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2017,0,0
